metric	value
memote_html	/mnt/fabb0776-b8da-464a-8326-3bb7ca279732/mengya/my_pangenome/results/pangenome_relaxed_80/347_final_detail_closed_ssGEM_memote/per_model/Calb_GCA_000775525_ssGEM/memote_snapshot.html
run_mode	full
total_score	0.6976557596620031
section_score_consistency	0.4749421678485718
section_score_annotation_met	0.7301464221490875
section_score_annotation_rxn	0.7489416608675481
section_score_annotation_gene	0.5944243882872042
section_score_annotation_sbo	0.9090909090909091
test_status_failed	119
test_status_passed	109
test_status_skipped	8
memote_0_17_sbo_zero_missing_marked_failed_tests	9
interpretation_boundary	MEMOTE_score_is_descriptive;independent_release_QC_controls_release;bounded_runtime_mode_omits_three_open_bound_tests
